Date,CommitCount
2011-08-01,1
2011-08-15,2
2011-08-20,1
2011-09-01,1
2011-09-17,2
2011-10-03,1
2011-10-04,1
2011-10-19,1
2011-10-23,1
2011-10-24,3
2011-11-05,1
2011-11-23,2
2012-01-02,1
2012-04-30,1
2012-07-18,1
2012-07-19,1
2012-08-14,4
2012-10-08,1
2012-10-09,2
2012-10-10,1
2012-10-11,2
2012-10-12,1
2012-10-13,1
2012-10-30,1
2012-11-02,1
2012-11-15,2
2012-11-16,1
2012-11-26,1
2012-12-02,2
2012-12-06,2
2012-12-07,2
2012-12-10,1
2012-12-11,2
2012-12-13,1
2013-01-16,1
2013-01-23,1
