Date,CommitCount
2013-07-25,1
2013-08-05,1
2013-08-09,2
2013-08-17,1
2013-08-19,2
2013-08-28,1
2013-09-13,1
2013-10-04,1
2013-10-07,1
2013-10-29,1
2013-10-30,1
2013-11-22,1
2013-11-28,1
2013-12-03,1
2014-01-03,1
2014-01-16,1
2014-02-11,1
2014-02-12,1
2014-02-13,1
2014-02-21,1
2014-02-27,2
2014-03-27,1
2014-03-31,1
2014-04-08,1
2014-04-09,1
2014-04-10,1
2014-04-11,1
2014-04-23,1
2014-04-25,2
2014-05-05,1
2014-05-07,1
2014-05-08,1
2014-05-14,1
2014-05-16,3
2014-06-04,1
2014-07-22,1
2014-08-06,1
2014-08-08,1
2014-09-05,1
2014-09-14,1
2014-10-07,1
2014-10-23,1
2014-10-30,1
2014-11-12,1
2014-11-24,2
2014-12-04,1
