Date,CommitCount
2011-08-05,1
2011-08-07,2
2011-08-08,1
2011-08-10,1
2011-08-12,1
2011-08-14,1
2011-08-16,1
2011-08-17,1
2011-08-25,1
2011-09-01,1
2011-09-02,1
2011-09-07,1
2011-09-09,1
2011-09-21,1
2011-09-23,1
2011-09-26,2
2011-09-28,2
2011-09-30,2
2011-10-03,2
2011-10-06,2
2011-10-11,2
2011-10-18,2
2011-10-19,1
2011-11-07,1
2011-11-15,1
2011-11-22,2
2011-11-23,4
2011-11-28,2
2011-12-08,1
2011-12-13,2
2011-12-16,1
2012-01-03,1
2012-01-05,1
2012-01-06,1
2012-01-11,1
2012-01-13,2
2012-01-17,1
2012-01-19,1
2012-02-02,1
2012-02-08,1
2012-02-10,1
2012-02-13,2
2012-02-14,1
2012-02-15,4
2012-02-17,2
2012-02-20,1
2012-02-21,2
2012-02-23,1
2012-02-25,1
2012-02-27,1
2012-02-28,1
2012-02-29,1
2012-03-06,1
2012-03-07,1
2012-03-08,1
2012-03-14,2
2012-03-15,1
2012-03-21,2
2012-03-26,1
2012-04-06,2
2012-04-07,1
2012-04-25,1
2012-05-25,1
2012-06-06,1
2012-06-13,1
2012-06-14,2
2012-06-19,2
2012-06-22,1
2012-06-23,1
2012-06-26,1
2012-07-10,2
2012-07-11,1
2012-07-26,2
2012-07-27,1
2012-07-31,2
2012-08-01,1
2012-08-14,1
2012-08-15,1
2012-08-17,2
2012-08-18,1
2012-08-21,3
2012-08-23,1
2012-08-24,2
2012-08-25,9
2012-08-28,1
2012-08-29,1
2012-09-07,3
2012-09-10,1
2012-09-11,1
2012-09-12,2
2012-09-13,1
2012-09-14,1
2012-09-17,1
2012-09-18,2
2012-09-19,1
2012-09-24,1
2012-09-25,1
2012-09-27,2
2012-09-29,1
2012-10-02,1
2012-10-04,2
2012-10-09,3
2012-10-10,4
2012-10-12,2
2012-10-19,1
2012-10-23,1
2012-10-24,6
2012-10-25,1
2012-10-27,1
2012-10-29,1
2012-10-30,2
2012-10-31,2
2012-11-02,1
2012-11-05,2
2012-11-08,1
2012-11-09,1
2012-11-16,2
2012-11-17,2
2012-11-19,1
2012-11-26,1
2012-11-28,1
2012-11-29,2
2012-12-11,1
2012-12-17,1
