Date,CommitCount
2011-08-19,5
2011-08-23,2
2011-08-24,5
2011-10-04,1
2011-10-05,2
2011-10-06,6
2011-10-07,4
2011-10-11,1
2011-10-12,2
2011-10-14,2
2011-10-24,1
2011-10-27,1
2011-10-30,3
2011-11-06,1
2011-11-18,1
2011-11-22,1
2011-11-23,1
2011-12-01,2
2011-12-07,1
2011-12-15,1
2012-01-06,1
2012-01-07,1
2012-01-10,2
2012-01-12,2
2012-01-13,3
2012-01-24,1
2012-02-02,2
2012-02-06,1
2012-02-07,1
2012-02-09,1
2012-02-17,1
2012-03-01,1
2012-03-21,1
2012-03-22,2
2012-03-23,1
2012-04-07,1
2012-04-08,1
2012-04-23,1
2012-05-18,1
2012-06-01,2
2012-07-19,1
2012-07-20,1
2012-07-24,1
2012-07-25,1
2012-07-31,1
2012-08-06,1
2012-08-08,1
2012-08-22,1
2012-08-29,1
2012-08-30,1
2012-09-10,1
2012-09-14,1
2012-09-18,1
2012-10-10,6
2012-10-11,1
2012-10-12,2
2012-10-13,2
2012-10-16,1
2012-10-23,1
2012-11-06,1
2012-11-15,1
2012-11-18,1
2012-11-29,1
2012-11-30,1
2012-12-01,1
2012-12-07,1
2012-12-08,1
2012-12-10,1
2012-12-17,2
2013-01-11,2
2013-05-17,2
2013-05-21,1
2013-05-22,1
2013-05-29,1
2013-06-03,1
2013-06-04,1
