Date,CommitCount
2012-12-18,1
2013-04-23,1
2013-04-26,1
2013-05-22,1
2013-05-28,1
2013-05-31,1
2013-06-13,1
2013-07-24,1
2013-07-25,1
2013-08-01,1
2013-08-02,2
2013-10-16,1
2013-11-26,1
2014-01-25,1
2014-03-14,1
2014-03-18,1
2014-04-07,1
2014-04-08,2
2014-04-15,1
2014-04-18,1
2014-04-22,1
2014-05-06,1
2014-06-27,1
2014-08-30,1
2014-10-15,1
2014-11-14,1
2015-01-15,1
2015-01-20,1
2015-02-03,1
2015-02-18,1
2015-02-19,1
2015-02-25,1
2015-03-03,2
2015-03-04,3
2015-05-12,1
2015-05-20,1
2015-05-21,1
2015-07-08,1
2015-07-10,1
2015-08-19,1
2015-09-03,1
2015-09-17,1
2015-10-29,1
2016-11-14,1
