Date,CommitCount
2012-12-16,2
2012-12-18,2
2012-12-20,1
2013-01-04,1
2013-01-14,1
2013-01-29,1
2013-02-08,1
2013-03-08,1
2013-03-12,1
2013-07-11,1
2013-07-17,1
2013-07-29,1
2013-08-03,2
2013-09-15,1
2013-10-09,2
2013-10-14,1
2013-10-18,1
2013-10-25,1
2014-01-23,1
2014-02-03,1
2014-02-06,1
2014-02-07,3
2014-02-09,2
2014-02-12,3
2014-02-13,1
2014-02-19,1
2014-02-21,2
2014-02-24,1
2014-02-27,1
2014-03-05,3
2014-03-06,1
2014-03-19,2
2014-03-27,1
2014-03-28,1
2014-04-01,2
2014-04-16,1
2014-04-17,1
2014-04-18,2
2014-04-22,1
2014-04-28,1
2014-05-15,1
2014-06-11,1
2014-06-18,2
2014-07-01,3
2014-07-04,1
2014-07-08,1
2014-07-11,1
2014-07-12,1
2014-07-17,1
2014-07-21,1
2014-07-24,1
2014-08-18,1
2015-01-11,1
2015-01-30,1
2015-02-03,1
2015-02-05,1
2015-02-07,1
2015-02-22,1
2015-12-05,1
2016-09-28,1
