Date,CommitCount
2013-01-09,1
2013-01-15,1
2013-01-18,1
2013-01-19,1
2013-01-21,3
2013-01-22,1
2013-01-23,2
2013-01-24,3
2013-01-25,1
2013-02-05,1
2013-02-06,3
2013-02-07,1
2013-02-23,1
2013-02-24,1
2013-02-25,2
2013-02-27,2
2013-02-28,1
2013-03-01,1
2013-03-05,1
2013-03-08,1
2013-03-09,1
2013-03-13,1
2013-03-15,1
2013-03-20,1
2013-03-22,2
2013-03-27,1
2013-03-28,3
2013-03-29,1
2013-04-03,1
2013-04-04,1
2013-04-05,2
2013-04-09,2
2013-04-11,1
2013-04-29,1
2013-04-30,3
2013-05-01,1
2013-08-05,1
2013-08-09,1
2013-09-13,1
2013-09-17,1
2013-09-18,2
2013-09-20,1
2013-10-01,1
2013-10-15,1
2013-10-16,1
2013-11-01,4
2013-11-04,1
2013-11-08,1
2013-12-04,1
2013-12-06,1
2013-12-07,1
2013-12-11,1
2013-12-12,2
2013-12-19,1
2013-12-20,1
2014-01-03,2
2014-01-13,1
2014-02-07,2
2014-02-08,1
2014-02-11,1
2014-02-12,2
2014-03-07,1
2014-03-18,1
2014-03-19,1
2014-03-27,1
2014-04-01,1
2014-04-08,1
2014-04-29,1
2014-05-15,1
2014-05-20,1
2014-05-21,1
2014-05-27,1
2014-06-10,1
2014-10-16,1
2015-02-27,1
2015-04-25,1
